d	ENGLISH_M	ENGLISH_F
LOC_ID_CLASS_PASSIVE_CONTROLS_BowClass_1	<color=blue><b>Average Health, good Mana.</b></color></LB> <color=blue><b>Hunter: +10% Strength and Dexterity.</b></color>	
LOC_ID_CLASS_PASSIVE_TITLE_ChakramClass_1	Amazonian - UNUSED	
LOC_ID_CLASS_PASSIVE_DESCRIPTION_ChakramClass_1	Raised in the wilds, Amazonians rose to power during the housing crisis.	
LOC_ID_CLASS_PASSIVE_CONTROLS_ChakramClass_1		
LOC_ID_CLASS_PASSIVE_TITLE_LadleClass_1	Chef	
LOC_ID_CLASS_PASSIVE_DESCRIPTION_LadleClass_1	One does not simply train to be a Combat Chef.</LB>One is accidentally conscripted.	
LOC_ID_CLASS_PASSIVE_CONTROLS_LadleClass_1	<color=blue><b>Low Health, great Mana.</b></color></LB> <color=blue><b>Artisan: Your Weapon applies <color=purple>Burn</color>.</b></color>	
LOC_ID_CLASS_PASSIVE_TITLE_KunaiClass_1	Bastion - UNUSED	
LOC_ID_CLASS_PASSIVE_DESCRIPTION_KunaiClass_1	The last line of defense, Bastions hold all the coolest of gadgets.	
LOC_ID_CLASS_PASSIVE_CONTROLS_KunaiClass_1		
LOC_ID_CLASS_PASSIVE_TITLE_SiphonClass_1	Lich - UNUSED	
LOC_ID_CLASS_PASSIVE_DESCRIPTION_SiphonClass_1	Born of dark magic, Lichs fight an upward battle against prejudice.	
LOC_ID_CLASS_PASSIVE_CONTROLS_SiphonClass_1		
LOC_ID_CLASS_PASSIVE_TITLE_BoxingGloveClass_1	Boxer	
LOC_ID_CLASS_PASSIVE_DESCRIPTION_BoxingGloveClass_1	Givin' folks a sussin' with a good 'ol concussion.</LB> That last line only rhymes for people who've had multiple sussins'.	
LOC_ID_CLASS_PASSIVE_CONTROLS_BoxingGloveClass_1	<color=blue><b>Great Health, good Mana.</b></color></LB> <color=blue><b>Deft: You are <color=purple>Elusive</color>, and can walk through most enemies.</b></color>	
LOC_ID_CLASS_PASSIVE_TITLE_CaneClass_1	Cane Class - UNUSED	
LOC_ID_CLASS_PASSIVE_DESCRIPTION_CaneClass_1	Probably "cane"celled.	
LOC_ID_CLASS_PASSIVE_CONTROLS_CaneClass_1		
LOC_ID_CLASS_PASSIVE_TITLE_PolymorphClass_1	Polymorph - UNUSED	
LOC_ID_CLASS_PASSIVE_DESCRIPTION_PolymorphClass_1	In school they were told they could be anybody. They took it literally. Just kidding, they're just a fish-person.	
LOC_ID_CLASS_PASSIVE_CONTROLS_PolymorphClass_1		
LOC_ID_CLASS_PASSIVE_TITLE_GunClass_1	Gunslinger	
LOC_ID_CLASS_PASSIVE_DESCRIPTION_GunClass_1	Before bullets were invented, Gunslingers just threw their weapons at everyone.	
LOC_ID_CLASS_PASSIVE_CONTROLS_GunClass_1	<color=blue><b>Low Health, Great Mana.</b></color></LB> <color=blue><b>Suave: You are <color=purple>Suave</color> (Your weapons deal +15% Bonus INT. Damage). 	
LOC_ID_CLASS_PASSIVE_TITLE_LanceClass_1	Dragon Lancer	
LOC_ID_CLASS_PASSIVE_DESCRIPTION_LanceClass_1	They were trained to fight dragons. Turns out that makes them great at beating everything else too.	
LOC_ID_CLASS_PASSIVE_CONTROLS_LanceClass_1	<color=blue><b>Great Health, good Mana.</b></color></LB> <color=blue><b>Armored: +20% Armor.</b></color> 	
LOC_ID_CLASS_PASSIVE_TITLE_LuteClass_1	Bard	
LOC_ID_CLASS_PASSIVE_DESCRIPTION_LuteClass_1	They can sing, they can dance, and they can tell wild stories.</LB> The only thing they can't do is fight.  Welcome to the front lines!	
LOC_ID_CLASS_PASSIVE_CONTROLS_LuteClass_1	<color=blue><b>Average Health, great Mana.</b></color></LB> <color=blue><b>Performer: Spin Kicks stack <color=purple>Dance</color> (+15% damage per stack).  Stacks are lost if you land.</b></color>	
LOC_ID_CLASS_PASSIVE_TITLE_KatanaClass_1	Ronin	
LOC_ID_CLASS_PASSIVE_DESCRIPTION_KatanaClass_1	An outcast from society, the Ronin chose the secluded life because it's a much cooler backstory.	
LOC_ID_CLASS_PASSIVE_CONTROLS_KatanaClass_1	<color=blue><b>Low Health, average Mana.</b></color></LB> <color=blue><b>Lone Traveler: +20% Strength.</b></color>	
LOC_ID_CLASS_PASSIVE_TITLE_AstroClass_1	Astromancer	
LOC_ID_CLASS_PASSIVE_DESCRIPTION_AstroClass_1	They have discovered the secrets of the Cosmos, and now they're bored.	
LOC_ID_CLASS_PASSIVE_CONTROLS_AstroClass_1	<color=blue><b>Low Health, incredible Mana.</b></color></LB> <color=blue><b>Grand Vision: +20% Intelligence. All damage dealt generates Mana.</b></color>	
LOC_ID_CLASS_PASSIVE_TITLE_CannonClass_1	Pirate	
LOC_ID_CLASS_PASSIVE_DESCRIPTION_CannonClass_1	Daring, disheveled, and downright dangerous.</LB> The only thing dirtier than a Pirate is their fighting style.	
LOC_ID_CLASS_PASSIVE_CONTROLS_CannonClass_1	<color=blue><b>Great Health, good Mana.</b></color></LB> <color=blue><b>Cheap Shot: +10% Weapon and Spell Crit. Damage.</b></color>	
\\		
\\		
\\		
\\		
\\		
\\		
\\		
\\		
\\		
\\		
\\		
\\		
\\		
\\		
\\		
\\		
\\		
\\		
\\		
\\		
\\		
\\		
LOC_ID_UI_CONTROLS_EDIT_CONTROLS_TITLE_1	Edit Controls	
LOC_ID_UI_CONTROLS_ATTACK_TITLE_1	Attack	
LOC_ID_UI_CONTROLS_JUMP_TITLE_1	Jump	
LOC_ID_UI_CONTROLS_SPELL_TITLE_1	Cast Spell	
LOC_ID_UI_CONTROLS_TALENT_TITLE_1	Cast Talent	
LOC_ID_UI_CONTROLS_DASH_RIGHT_TITLE_1	Dash</LB> <size=75%>(*Classic - Dash Right)</size>	
LOC_ID_UI_CONTROLS_DASH_LEFT_TITLE_1	Dash </LB> <size=75%>(*Classic - Dash Left)</size>	
LOC_ID_UI_CONTROLS_DOWNSTRIKE_SIMPLE_TITLE_1	Spin Kick	
LOC_ID_UI_CONTROLS_INTERACT_TITLE_1	Use	
LOC_ID_UI_CONTROLS_MOVE_LEFT_TITLE_1	Move Left	
LOC_ID_UI_CONTROLS_MOVE_RIGHT_TITLE_1	Move Right	
LOC_ID_UI_CONTROLS_MOVE_UP_TITLE_1	Move Up	
LOC_ID_UI_CONTROLS_MOVE_DOWN_TITLE_1	Move Down	
LOC_ID_UI_CONTROLS_LOOK_TITLE_1	Free Look	
LOC_ID_UI_CONTROLS_FLIGHT_TITLE_1	Toggle Flight	
LOC_ID_UI_CONTROLS_FLIGHT_TITLE_DESCRIPTION_1	If you are having difficulty with platforming, you can enable Flight in <color=blue>House Rules</color>.	
\\		
\\		
\\		
\\		
\\		
\\		
\\		
\\		
\\		
\\		
\\		
\\		
\\		
LOC_ID_LIBRARY_UI_SIGN_1	The Library	
LOC_ID_LIBRARY_UI_BUTTON_1	Read	
\\		
\\		
\\		
\\		
\\		
\\		
LOC_ID_UI_POPUP_ATTUNE_MAP_1	Attune Map	
LOC_ID_UI_POPUP_MAP_ATTUNED_1	Map Attuned	
LOC_ID_UI_POPUP_FAST_FORWARD_1	Fast Forward	
\\		
\\		
\\		
\\		
\\		
\\		
\\		
\\		
\\		
\\		
\\		
LOC_ID_BLACKSMITH_TITLE_MAIN_1	THIS SHOULD NO LONGER APPEAR	
LOC_ID_BLACKSMITH_TITLE_SIGN_1	BLACKSMITH'S</LB> <size=70%>FORGE</size>	
LOC_ID_BLACKSMITH_UPGRADE_TITLE_1	Upgrade	
LOC_ID_BLACKSMITH_BUY_TITLE_1	Buy	
LOC_ID_BLACKSMITH_PURCHASE_WEIGHT_EXCEEDED_TITLE_1	Weight Limit Exceeded	
LOC_ID_BLACKSMITH_PURCHASE_WEIGHT_EXCEEDED_DESCRIPTION_1	The purchase was successful, but the equipment was too heavy to wear.  Increase your weight allowance, or unequip another item to put this one on.	
LOC_ID_BLACKSMITH_UPGRADE_WEIGHT_EXCEEDED_TITLE_1	Upgrading Exceeds Weight Limit	
LOC_ID_BLACKSMITH_UPGRADE_WEIGHT_EXCEEDED_DESCRIPTION_1	Upgrading this gear will make it too heavy to wear.  If you upgrade it, it will be unequipped.  Would you like to continue?	
LOC_ID_BLACKSMITH_BLUEPRINT_NOT_FOUND_1	BLUEPRINT NOT FOUND	
LOC_ID_BLACKSMITH_UNITY_UP_1	{0} UNITY LVL UP	
LOC_ID_BLACKSMITH_UNITY_DOWN_1	{0} UNITY LVL DOWN	
LOC_ID_BLACKSMITH_PURCHASE_WARNING_1	This Blueprint must be found before it can be purchased.	
LOC_ID_BLACKSMITH_NO_BLUEPRINTS_1	You haven't found any Equipment Blueprints yet!	
LOC_ID_BLACKSMITH_SELECT_CATEGORY_1	Select a Category	
LOC_ID_BLACKSMITH_EQUIPPED_TITLE_1	Equipped	
\\		
\\		
\\		
\\		
\\		
\\		
\\		
\\		
\\		
\\		
		
LOC_ID_EQUIPMENT_SLOT_WEAPON_1	Weapon	
LOC_ID_EQUIPMENT_SLOT_HEAD_1	Helm	
LOC_ID_EQUIPMENT_SLOT_CAPE_1	Cape	
LOC_ID_EQUIPMENT_SLOT_CHEST_1	Chest	
LOC_ID_EQUIPMENT_SLOT_TRINKET_1	Trinket	
\\		
\\		
\\		
\\		
\\		
\\		
\\		
\\		
\\		
\\		
\\		
LOC_ID_EQUIPMENT_MATERIAL_GEAR_BONUS_WEIGHT_1	Leather	
LOC_ID_EQUIPMENT_MATERIAL_GEAR_MAGIC_CRIT_1	Scholar	
LOC_ID_EQUIPMENT_MATERIAL_GEAR_STRENGTH_CRIT_1	Warden	
LOC_ID_EQUIPMENT_MATERIAL_GEAR_LIFE_STEAL_1	Sanguine	
LOC_ID_EQUIPMENT_MATERIAL_GEAR_ARMOR_1	Ammonite	
LOC_ID_EQUIPMENT_MATERIAL_GEAR_MAGIC_DMG_1	Crescent	
LOC_ID_EQUIPMENT_MATERIAL_GEAR_MOBILITY_1	Drowned	
LOC_ID_EQUIPMENT_MATERIAL_GEAR_GOLD_1	Gilded	
LOC_ID_EQUIPMENT_MATERIAL_GEAR_RETURN_DMG_1	Obsidian	
LOC_ID_EQUIPMENT_MATERIAL_GEAR_MAG_ON_HIT_1	Leviathan	
LOC_ID_EQUIPMENT_MATERIAL_GEAR_LIFE_STEAL_2_1	Kin	
LOC_ID_EQUIPMENT_MATERIAL_GEAR_REVIVE_1	White Wood	
LOC_ID_EQUIPMENT_MATERIAL_GEAR_FINAL_BOSS_1	Black Root	
LOC_ID_EQUIPMENT_MATERIAL_GEAR_EMPTY_1_1	Empty_1	
LOC_ID_EQUIPMENT_MATERIAL_GEAR_EMPTY_2_1	Empty_2	
\\		
\\		
\\		
\\		
\\		
\\		
\\		
\\		
\\		
\\		
\\		
LOC_ID_EQUIPMENT_TITLE_GEAR_BONUS_WEIGHT_Weapon_1		
LOC_ID_EQUIPMENT_TITLE_GEAR_BONUS_WEIGHT_Head_1		
LOC_ID_EQUIPMENT_TITLE_GEAR_BONUS_WEIGHT_Chest_1		
LOC_ID_EQUIPMENT_TITLE_GEAR_BONUS_WEIGHT_Cape_1		
LOC_ID_EQUIPMENT_TITLE_GEAR_BONUS_WEIGHT_Trinket_1	Leather Band	
LOC_ID_EQUIPMENT_TITLE_GEAR_MAGIC_CRIT_Trinket_1	Scholar's Token	
LOC_ID_EQUIPMENT_TITLE_GEAR_STRENGTH_CRIT_Trinket_1	Warden's Sigil	
LOC_ID_EQUIPMENT_TITLE_GEAR_LIFE_STEAL_Trinket_1	Sanguine Vial	
LOC_ID_EQUIPMENT_TITLE_GEAR_ARMOR_Trinket_1	Ammonite Fossil	
LOC_ID_EQUIPMENT_TITLE_GEAR_MAGIC_DMG_Trinket_1		
LOC_ID_EQUIPMENT_TITLE_GEAR_MOBILITY_Trinket_1		
LOC_ID_EQUIPMENT_TITLE_GEAR_GOLD_Trinket_1		
LOC_ID_EQUIPMENT_TITLE_GEAR_RETURN_DMG_Trinket_1		
LOC_ID_EQUIPMENT_TITLE_GEAR_LIFE_STEAL_2_Trinket_1		
LOC_ID_EQUIPMENT_TITLE_GEAR_REVIVE_Trinket_1		
LOC_ID_EQUIPMENT_TITLE_GEAR_FINAL_BOSS_Trinket_1		
LOC_ID_EQUIPMENT_TITLE_GEAR_EMPTY_1_Trinket_1		
LOC_ID_EQUIPMENT_TITLE_GEAR_EMPTY_2_Trinket_1		
\\		
\\		
\\		
\\		
\\		
\\		
\\		
\\		
\\		
\\		
\\		
LOC_ID_EQUIPMENT_DESCRIPTION_GEAR_BONUS_WEIGHT_Weapon_1	A beautiful piece of weathered leather.	
LOC_ID_EQUIPMENT_DESCRIPTION_GEAR_BONUS_WEIGHT_Head_1	A beautiful piece of weathered leather.	
LOC_ID_EQUIPMENT_DESCRIPTION_GEAR_BONUS_WEIGHT_Chest_1	A beautiful piece of weathered leather.	
LOC_ID_EQUIPMENT_DESCRIPTION_GEAR_BONUS_WEIGHT_Cape_1	A beautiful piece of weathered leather.	
LOC_ID_EQUIPMENT_DESCRIPTION_GEAR_BONUS_WEIGHT_Trinket_1	A beautiful piece of weathered leather.	
LOC_ID_EQUIPMENT_DESCRIPTION_GEAR_MAGIC_CRIT_Weapon_1	A simple outfit worn by the acolytes up in the Study.	
LOC_ID_EQUIPMENT_DESCRIPTION_GEAR_MAGIC_CRIT_Head_1	A simple outfit worn by the acolytes up in the Study.	
LOC_ID_EQUIPMENT_DESCRIPTION_GEAR_MAGIC_CRIT_Chest_1	A simple outfit worn by the acolytes up in the Study.	
LOC_ID_EQUIPMENT_DESCRIPTION_GEAR_MAGIC_CRIT_Cape_1	A simple outfit worn by the acolytes up in the Study.	
LOC_ID_EQUIPMENT_DESCRIPTION_GEAR_MAGIC_CRIT_Trinket_1	A simple outfit worn by the acolytes up in the Study.	
LOC_ID_EQUIPMENT_DESCRIPTION_GEAR_STRENGTH_CRIT_Weapon_1	Worn by the royal guards who patrol Citadel Agartha.	
LOC_ID_EQUIPMENT_DESCRIPTION_GEAR_STRENGTH_CRIT_Head_1	Worn by the royal guards who patrol Citadel Agartha.	
LOC_ID_EQUIPMENT_DESCRIPTION_GEAR_STRENGTH_CRIT_Chest_1	Worn by the royal guards who patrol Citadel Agartha.	
LOC_ID_EQUIPMENT_DESCRIPTION_GEAR_STRENGTH_CRIT_Cape_1	Worn by the royal guards who patrol Citadel Agartha.	
LOC_ID_EQUIPMENT_DESCRIPTION_GEAR_STRENGTH_CRIT_Trinket_1	Worn by the royal guards who patrol Citadel Agartha.	
LOC_ID_EQUIPMENT_DESCRIPTION_GEAR_LIFE_STEAL_Weapon_1	Magically imbued and stitched together with bloody thread.	
LOC_ID_EQUIPMENT_DESCRIPTION_GEAR_LIFE_STEAL_Head_1	Magically imbued and stitched together with bloody thread.	
LOC_ID_EQUIPMENT_DESCRIPTION_GEAR_LIFE_STEAL_Chest_1	Magically imbued and stitched together with bloody thread.	
LOC_ID_EQUIPMENT_DESCRIPTION_GEAR_LIFE_STEAL_Cape_1	Magically imbued and stitched together with bloody thread.	
LOC_ID_EQUIPMENT_DESCRIPTION_GEAR_LIFE_STEAL_Trinket_1	Magically imbued and stitched together with bloody thread.	
LOC_ID_EQUIPMENT_DESCRIPTION_GEAR_ARMOR_Weapon_1	A heavy outfit made of ancient stone.	
LOC_ID_EQUIPMENT_DESCRIPTION_GEAR_ARMOR_Head_1	A heavy outfit made of ancient stone.	
LOC_ID_EQUIPMENT_DESCRIPTION_GEAR_ARMOR_Chest_1	A heavy outfit made of ancient stone.	
LOC_ID_EQUIPMENT_DESCRIPTION_GEAR_ARMOR_Cape_1	A heavy outfit made of ancient stone.	
LOC_ID_EQUIPMENT_DESCRIPTION_GEAR_ARMOR_Trinket_1	A heavy outfit made of ancient stone.	
LOC_ID_EQUIPMENT_DESCRIPTION_GEAR_MAGIC_DMG_Weapon_1	Made of ore from the falling moon.	
LOC_ID_EQUIPMENT_DESCRIPTION_GEAR_MAGIC_DMG_Head_1	Made of ore from the falling moon.	
LOC_ID_EQUIPMENT_DESCRIPTION_GEAR_MAGIC_DMG_Chest_1	Made of ore from the falling moon.	
LOC_ID_EQUIPMENT_DESCRIPTION_GEAR_MAGIC_DMG_Cape_1	Made of ore from the falling moon.	
LOC_ID_EQUIPMENT_DESCRIPTION_GEAR_MAGIC_DMG_Trinket_1	Made of ore from the falling moon.	
LOC_ID_EQUIPMENT_DESCRIPTION_GEAR_MOBILITY_Weapon_1	Soaked in the Stygian Ocean for a hundred years and imbued with the Shift.	
LOC_ID_EQUIPMENT_DESCRIPTION_GEAR_MOBILITY_Head_1	Soaked in the Stygian Ocean for a hundred years and imbued with the Shift.	
LOC_ID_EQUIPMENT_DESCRIPTION_GEAR_MOBILITY_Chest_1	Soaked in the Stygian Ocean for a hundred years and imbued with the Shift.	
LOC_ID_EQUIPMENT_DESCRIPTION_GEAR_MOBILITY_Cape_1	Soaked in the Stygian Ocean for a hundred years and imbued with the Shift.	
LOC_ID_EQUIPMENT_DESCRIPTION_GEAR_MOBILITY_Trinket_1	Soaked in the Stygian Ocean for a hundred years and imbued with the Shift.	
LOC_ID_EQUIPMENT_DESCRIPTION_GEAR_GOLD_Weapon_1	Made of gold filaments and blessed by the Midas Heirloom.	
LOC_ID_EQUIPMENT_DESCRIPTION_GEAR_GOLD_Head_1	Made of gold filaments and blessed by the Midas Heirloom.	
LOC_ID_EQUIPMENT_DESCRIPTION_GEAR_GOLD_Chest_1	Made of gold filaments and blessed by the Midas Heirloom.	
LOC_ID_EQUIPMENT_DESCRIPTION_GEAR_GOLD_Cape_1	Made of gold filaments and blessed by the Midas Heirloom.	
LOC_ID_EQUIPMENT_DESCRIPTION_GEAR_GOLD_Trinket_1	Made of gold filaments and blessed by the Midas Heirloom.	
LOC_ID_EQUIPMENT_DESCRIPTION_GEAR_RETURN_DMG_Weapon_1	Black, ragged, and dangerous to the touch.  Only a Mastersmith can handle such material.	
LOC_ID_EQUIPMENT_DESCRIPTION_GEAR_RETURN_DMG_Head_1	Black, ragged, and dangerous to the touch.  Only a Mastersmith can handle such material.	
LOC_ID_EQUIPMENT_DESCRIPTION_GEAR_RETURN_DMG_Chest_1	Black, ragged, and dangerous to the touch.  Only a Mastersmith can handle such material.	
LOC_ID_EQUIPMENT_DESCRIPTION_GEAR_RETURN_DMG_Cape_1	Black, ragged, and dangerous to the touch.  Only a Mastersmith can handle such material.	
LOC_ID_EQUIPMENT_DESCRIPTION_GEAR_RETURN_DMG_Trinket_1	Black, ragged, and dangerous to the touch.  Only a Mastersmith can handle such material.	
LOC_ID_EQUIPMENT_DESCRIPTION_GEAR_MAG_ON_HIT_Weapon_1	The royal accoutrement of High Seers.	
LOC_ID_EQUIPMENT_DESCRIPTION_GEAR_MAG_ON_HIT_Head_1	The royal accoutrement of High Seers.	
LOC_ID_EQUIPMENT_DESCRIPTION_GEAR_MAG_ON_HIT_Chest_1	The royal accoutrement of High Seers.	
LOC_ID_EQUIPMENT_DESCRIPTION_GEAR_MAG_ON_HIT_Cape_1	The royal accoutrement of High Seers.	
LOC_ID_EQUIPMENT_DESCRIPTION_GEAR_MAG_ON_HIT_Trinket_1	The royal accoutrement of High Seers.	
LOC_ID_EQUIPMENT_DESCRIPTION_GEAR_LIFE_STEAL_2_Weapon_1	Forged from Red Aether and imbued with a hundred enchantments.	
LOC_ID_EQUIPMENT_DESCRIPTION_GEAR_LIFE_STEAL_2_Head_1	Forged from Red Aether and imbued with a hundred enchantments.	
LOC_ID_EQUIPMENT_DESCRIPTION_GEAR_LIFE_STEAL_2_Chest_1	Forged from Red Aether and imbued with a hundred enchantments.	
LOC_ID_EQUIPMENT_DESCRIPTION_GEAR_LIFE_STEAL_2_Cape_1	Forged from Red Aether and imbued with a hundred enchantments.	
LOC_ID_EQUIPMENT_DESCRIPTION_GEAR_LIFE_STEAL_2_Trinket_1	Forged from Red Aether and imbued with a hundred enchantments.	
LOC_ID_EQUIPMENT_DESCRIPTION_GEAR_REVIVE_Weapon_1	White Bark...	
LOC_ID_EQUIPMENT_DESCRIPTION_GEAR_REVIVE_Head_1	White Bark...	
LOC_ID_EQUIPMENT_DESCRIPTION_GEAR_REVIVE_Chest_1	White Bark...	
LOC_ID_EQUIPMENT_DESCRIPTION_GEAR_REVIVE_Cape_1	White Bark...	
LOC_ID_EQUIPMENT_DESCRIPTION_GEAR_REVIVE_Trinket_1	White Bark...	
LOC_ID_EQUIPMENT_DESCRIPTION_GEAR_FINAL_BOSS_Weapon_1	... Black roots.	
LOC_ID_EQUIPMENT_DESCRIPTION_GEAR_FINAL_BOSS_Head_1	... Black roots.	
LOC_ID_EQUIPMENT_DESCRIPTION_GEAR_FINAL_BOSS_Chest_1	... Black roots.	
LOC_ID_EQUIPMENT_DESCRIPTION_GEAR_FINAL_BOSS_Cape_1	... Black roots.	
LOC_ID_EQUIPMENT_DESCRIPTION_GEAR_FINAL_BOSS_Trinket_1	... Black roots.	
LOC_ID_EQUIPMENT_DESCRIPTION_GEAR_EMPTY_1_Weapon_1		
LOC_ID_EQUIPMENT_DESCRIPTION_GEAR_EMPTY_1_Head_1		
LOC_ID_EQUIPMENT_DESCRIPTION_GEAR_EMPTY_1_Chest_1		
LOC_ID_EQUIPMENT_DESCRIPTION_GEAR_EMPTY_1_Cape_1		
LOC_ID_EQUIPMENT_DESCRIPTION_GEAR_EMPTY_1_Trinket_1		
LOC_ID_EQUIPMENT_DESCRIPTION_GEAR_EMPTY_2_Weapon_1		
LOC_ID_EQUIPMENT_DESCRIPTION_GEAR_EMPTY_2_Head_1		
LOC_ID_EQUIPMENT_DESCRIPTION_GEAR_EMPTY_2_Chest_1		
LOC_ID_EQUIPMENT_DESCRIPTION_GEAR_EMPTY_2_Cape_1		
LOC_ID_EQUIPMENT_DESCRIPTION_GEAR_EMPTY_2_Trinket_1		
\\		
\\		
\\		
\\		
\\		
\\		
\\		
\\		
\\		
\\		
\\		
\\		
\\		
\\		
\\		
\\		
\\		
\\		
\\		
\\		
\\		
LOC_ID_EQUIP_STAT_TITLE_WEIGHT_1	WEIGHT	
LOC_ID_EQUIP_STAT_TITLE_HEALTH_1	VITALITY <size=75%>(HP)</size>	
LOC_ID_EQUIP_STAT_TITLE_ARMOR_1	ARMOR <size=75%>(SHIELD)</size>	
LOC_ID_EQUIP_STAT_TITLE_WEAPON_DAMAGE_1	STRENGTH <size=75%>(WPN. DMG)</size>	
LOC_ID_EQUIP_STAT_TITLE_MAGIC_DAMAGE_1	INT. <size=75%>(MAG. DMG)</size>	
LOC_ID_EQUIP_STAT_TITLE_WEAPON_CRIT_CHANCE_1	DEXTERITY <size=75%>(WPN. CRIT. DMG)</size>	
LOC_ID_EQUIP_STAT_TITLE_MAGIC_CRIT_CHANCE_1	FOCUS <size=75%>(MAG. CRIT. DMG)</size>	
LOC_ID_EQUIP_STAT_TITLE_ALL_COOLDOWN_1	ABILITY COOLDOWN	
LOC_ID_EQUIP_STAT_TITLE_SET_BONUS_1	{0} UNITY	
LOC_ID_EQUIP_STAT_TITLE_UNITY_1	UNITY (In Dev.)	
LOC_ID_EQUIP_STAT_TITLE_ENCUMBRANCE_1	LIGHT	
LOC_ID_EQUIP_STAT_TITLE_ENCUMBRANCE_2	MEDIUM	
LOC_ID_EQUIP_STAT_TITLE_ENCUMBRANCE_3	HEAVY	
LOC_ID_EQUIP_STAT_TITLE_ENCUMBRANCE_4	CHUNKY	
LOC_ID_EQUIP_STAT_TITLE_ENCUMBRANCE_5	OVERENCUMBERED	
LOC_ID_EQUIP_STAT_TITLE_ENCUMBRANCE_BONUS_1	+{0}% Resolve	
LOC_ID_EQUIP_STAT_TITLE_UNITY_REQUIREMENT_1	UNITY LVL. {0}	
LOC_ID_EQUIP_STAT_TITLE_UNITY_BONUS_1		
LOC_ID_EQUIP_STAT_TITLE_TALENT_COOLDOWN_1		
LOC_ID_EQUIP_STAT_TITLE_MAGIC_COOLDOWN_1		
LOC_ID_EQUIP_STAT_TITLE_ALL_CRIT_CHANCE_1	DEXTERITY <size=75%>(WPN. CRIT. DMG)</size>	
LOC_ID_EQUIP_STAT_TITLE_ALL_CRIT_DAMAGE_1	FOCUS <size=75%>(MAG. CRIT. DMG)</size>	
LOC_ID_EQUIP_STAT_TITLE_WEAPON_CRIT_DAMAGE_1	WPN. CRIT. DAMAGE	
LOC_ID_EQUIP_STAT_TITLE_MAGIC_CRIT_DAMAGE_1	MAG. CRIT. DAMAGE	
\\		
\\		
\\		
\\		
\\		
\\		
\\		
\\		
\\		
\\		
\\		
\\		
\\		
\\		
\\		
\\		
\\		
\\		
\\		
\\		
\\		
LOC_ID_STORE_UI_COST_1	Cost:	
LOC_ID_STORE_UI_WALLET_1	Wallet:	
\\		
\\		
